# 综合得分: 0.2846
# 重码数: 399
# 重码率: 0.032090%
# 加权键均当量: 0.1030
# 当量变异系数(CV): 1.5268
# 用指分布偏差(L2): 6.4439
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
乚.Y	I	1657962
〢.A	R	1651351
三.S	D	1646319
高.A	J	1645443
高.S	W	1645368
コ.A	K	1620904
貝.A	Y	1618995
疒.A	K	1577393
二.Y	E	1572954
户.S	L	1560062
疒.S	Q	1556607
高.Y	I	1514757
門.A	M	1510511
麻.A	Y	1509765
麻.S	R	1499197
{二撇}.Y	A	1493624
亍.S	C	1489464
{五下}.A	S	1488525
酉.A	Y	1478073
亍.Y	U	1452321
三.Y	O	1450503
龰.S	K	1445687
{乍下}.Y	O	1443241
皿.S	R	1440371
言.Y	A	1430177
黑.A	Q	1416418
黑.S	L	1412138
鬼.A	J	1410402
丩.A	Y	1406191
門.S	R	1405183
リ.A	B	1389918
其.Y	E	1378380
罒.S	J	1374280
壬.A	G	1351558
亦.A	S	1350411
乃.S	Q	1348368
虫.Y	O	1340561
习.A	S	1317892
七.Y	I	1294062
由.S	G	1293727
亦.S	G	1292386
匚.S	W	1276814
牙.A	B	1273566
牙.S	G	1272103
夫.Y	O	1267173
夊.Y	E	1253254
舟.A	S	1247547
㔾.S	N	1231272
{即左}.A	M	1229222
{周框}.A	N	1220008
金.A	Q	1214049
{具上}.Y	O	1205582
酉.S	G	1202602
{亮上}.A	J	1199287
舟.S	K	1191205
⺷.S	G	1173541
母.Y	O	1163214
电.A	P	1152132
予.A	J	1134312
彡.Y	A	1125193
鬼.Y	I	1113152
古.Y	I	1111360
电.Y	A	1103785
贝.Y	I	1083196
丷.Y	A	1081029
非.Y	O	1077392
臼.A	N	1071729
西.Y	I	1069304
{南心}.A	K	1068150
由.Y	U	1061034
入.A	B	1058971
山.Y	O	1055111
未.A	D	1031999
戈.Y	I	1028022
未.S	J	1017221
車.A	B	994554
未.Y	O	987460
壴.A	B	982688
丩.Y	U	980888
至.Y	E	980432
廴.A	Y	974161
文.Y	O	963159
丆.A	C	956358
示.Y	O	942200
{兴上}.Y	A	937261
見.A	P	932076
壬.S	D	927852
{荒下}.A	J	893830
卯.A	S	893813
入.S	D	880572
缶.A	C	870837
世.A	C	867208
亥.Y	A	866374
干.Y	I	864638
{飞右}.S	N	862181
{曾中}.A	J	858887
黑.Y	A	848797
{飞右}.Y	E	839568
九.S	N	837496
川.A	Y	837469
{冓上}.A	P	823389
弋.S	G	821890
丅.A	H	821679
川.S	C	820623
丅.S	K	819050
勹.Y	A	818455
饣.A	K	817062
饣.S	D	817062
卯.S	R	815296
頁.A	R	814228
𡗗.A	K	807456
业.Y	U	806446
卅.A	P	804413
車.S	C	798696
壴.S	K	781440
毛.A	W	780686
入.Y	I	775451
コ.Y	O	774032
毛.S	R	773738
幺.S	G	762748
士.Y	I	750247
{即左}.S	W	749029
{⺮右}.A	N	744416
世.S	D	744354
冊.A	N	736245
世.Y	O	735639
{亮上}.S	W	731186
